start_station_name,lat,lon
Albany Ave & 26th St,41.8444625,-87.70201533333334
Ashland Ave & Wrightwood Ave,41.92887733333333,-87.66853633333334
Wells St & Elm St,41.903105617,-87.634746313
LaSalle St & Illinois St,41.890762,-87.631697
Clark St & Lincoln Ave,41.915689,-87.6346
Leavitt St & Archer Ave,41.82879201994,-87.6806044594
Clinton St & Madison St,41.88223283333333,-87.64106083333333
Lake Park Ave & 53rd St,41.79949429373,-87.5864498959
Kedzie Ave & Palmer Ct,41.921525,-87.707322
California Ave & Fletcher St,41.93842879148,-87.698007756
Fort Dearborn Dr & 31st St,41.838556,-87.608218
California Ave & Francis Pl (Temp),41.91849115368695,-87.69742280244827
Bosworth Ave & Howard St,42.019537,-87.669563
Burnham Harbor,41.856268,-87.613348
LaSalle St & Adams St,41.87934437346,-87.6319852213
Clinton St & Washington Blvd,41.88338,-87.64117
Clark St & 9th St (AMLI),41.870816,-87.631246
Loomis St & Lexington St,41.872187,-87.661501
Cottage Grove Ave & 67th St,41.77372095205,-87.60563486
Ashland Ave & 13th St,41.865234,-87.666507
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639
Hoyne Ave & 34th St,41.83,-87.68
Pulaski Rd & 51st St,41.8,-87.72
Damen Ave & Melrose Ave,41.9406,-87.6785
Field Museum,41.865312,-87.617867
Lincoln Ave & Fullerton Ave,41.92428266666667,-87.64652266666667
Peoria St & Jackson Blvd,41.87756533333334,-87.64943466666666
Ashland Ave & Archer Ave,41.83919266666667,-87.66568933333333
Greenview Ave & Diversey Pkwy,41.93269383333333,-87.66599
Claremont Ave & Hirsch St,41.907781,-87.685854
State St & Kinzie St,41.889187,-87.627754
Kingsbury St & Erie St,41.89380805624359,-87.64169722795485
California Ave & Division St,41.903019667,-87.697478771
Noble St & Milwaukee Ave,41.90068,-87.6626
Morgan St & Polk St,41.871737,-87.65103
Western Ave & Division St,41.902893,-87.687275
Racine Ave & Congress Pkwy,41.874612166666665,-87.657045
Damen Ave & Grand Ave,41.891264346481535,-87.676842212677
Wood St & Augusta Blvd,41.899181,-87.6722
Wabash Ave & Adams St,41.87947235235,-87.6256886059
State St & 95th St,41.7218499,-87.6228544
McClurg Ct & Ohio St,41.892592119709725,-87.61728912591934
